# x, y, T_numerical, T_analytical
0.0400802, 0.0400802, 1.42889, 1.42889
0.0400802, 0.0501002, 1.78346, 1.78346
0.0400802, 0.0601202, 2.13626, 2.13626
0.0400802, 0.0701403, 2.48694, 2.48694
0.0400802, 0.0801603, 2.83516, 2.83516
0.0400802, 0.0901804, 3.18057, 3.18057
0.0400802, 0.1002, 3.52283, 3.52283
0.0400802, 0.11022, 3.86159, 3.86159
0.0400802, 0.12024, 4.19653, 4.19653
0.0400802, 0.130261, 4.52732, 4.52732
0.0400802, 0.140281, 4.85361, 4.85361
0.0400802, 0.150301, 5.1751, 5.1751
0.0400802, 0.160321, 5.49146, 5.49146
0.0400802, 0.170341, 5.80238, 5.80238
0.0400802, 0.180361, 6.10755, 6.10755
0.0400802, 0.190381, 6.40667, 6.40667
0.0400802, 0.200401, 6.69944, 6.69944
0.0400802, 0.210421, 6.98557, 6.98557
0.0400802, 0.220441, 7.26478, 7.26478
0.0400802, 0.230461, 7.53679, 7.5368
0.0400802, 0.240481, 7.80134, 7.80134
0.0400802, 0.250501, 8.05815, 8.05816
0.0400802, 0.260521, 8.30699, 8.30699
0.0400802, 0.270541, 8.54758, 8.54759
0.0400802, 0.280561, 8.77972, 8.77972
0.0400802, 0.290581, 9.00315, 9.00315
0.0400802, 0.300601, 9.21766, 9.21766
0.0400802, 0.310621, 9.42303, 9.42303
0.0400802, 0.320641, 9.61907, 9.61908
0.0400802, 0.330661, 9.80558, 9.80558
0.0400802, 0.340681, 9.98238, 9.98238
0.0400802, 0.350701, 10.1493, 10.1493
0.0400802, 0.360721, 10.3061, 10.3061
0.0400802, 0.370741, 10.4528, 10.4528
0.0400802, 0.380762, 10.589, 10.589
0.0400802, 0.390782, 10.7148, 10.7148
0.0400802, 0.400802, 10.83, 10.83
0.0400802, 0.410822, 10.9344, 10.9344
0.0400802, 0.420842, 11.028, 11.028
0.0400802, 0.430862, 11.1107, 11.1107
0.0400802, 0.440882, 11.1824, 11.1824
0.0400802, 0.450902, 11.243, 11.243
0.0400802, 0.460922, 11.2924, 11.2924
0.0400802, 0.470942, 11.3307, 11.3307
0.0400802, 0.480962, 11.3577, 11.3577
0.0400802, 0.490982, 11.3735, 11.3735
0.0400802, 0.501002, 11.378, 11.378
0.0400802, 0.511022, 11.3712, 11.3712
0.0400802, 0.521042, 11.3532, 11.3532
0.0400802, 0.531062, 11.3239, 11.3239
